Date,Open,High,Low,Close,Adj Close,Volume
2018-04-16,137.539993,138.149994,136.970001,137.720001,126.515984,2892600
2018-04-17,138.729996,139.529999,138.429993,139.169998,127.847984,2219900
2018-04-18,139.539993,139.850006,139.089996,139.360001,128.022552,1554400
2018-04-19,138.979996,139.179993,138.020004,138.600006,127.324409,4003900
2018-04-20,138.559998,138.669998,137.029999,137.500000,126.313850,1669600
2018-04-23,137.779999,138.160004,136.809998,137.449997,126.267967,2033700
2018-04-24,138.100006,138.190002,134.860001,135.800003,124.752159,3053500
2018-04-25,135.770004,136.250000,134.610001,135.949997,124.889969,2275400
2018-04-26,136.520004,137.679993,136.250000,137.240005,126.075035,1284600
2018-04-27,137.539993,137.740005,136.800003,137.330002,126.157715,1133600
2018-04-30,137.690002,137.990005,136.250000,136.330002,125.239037,2277100
2018-05-01,136.039993,136.600006,135.119995,136.539993,125.431961,1762700
2018-05-02,136.460007,136.970001,135.539993,135.750000,124.706253,1661600
2018-05-03,135.190002,135.800003,133.660004,135.380005,124.366364,2638000
2018-05-04,134.970001,137.559998,134.639999,137.130005,125.973984,2379400
2018-05-07,137.649994,138.309998,137.380005,137.729996,126.525177,1448000
2018-05-08,137.589996,138.009995,136.979996,137.779999,126.571098,1357400
2018-05-09,138.199997,139.270004,137.899994,139.080002,127.765327,1451700
2018-05-10,139.509995,140.539993,139.440002,140.289993,128.876877,1810100
2018-05-11,140.410004,140.869995,140.050003,140.570007,129.134125,1199100
2018-05-14,140.940002,141.300003,140.389999,140.639999,129.198456,1396900
2018-05-15,139.949997,140.110001,139.339996,139.789993,128.417542,2279700
2018-05-16,139.850006,140.759995,139.850006,140.470001,129.042252,1345900
2018-05-17,140.380005,141.039993,140.020004,140.509995,129.078995,1658500
2018-05-18,140.360001,140.509995,139.970001,140.199997,128.794235,910200
2018-05-21,141.059998,141.529999,140.839996,141.250000,129.758789,1299600
2018-05-22,141.559998,141.660004,140.589996,140.729996,129.281113,1213000
2018-05-23,140.089996,141.100006,140.000000,141.100006,129.621017,1431800
2018-05-24,140.929993,141.059998,139.860001,140.869995,129.409698,1405100
2018-05-25,140.600006,140.910004,140.279999,140.600006,129.161682,1264500
2018-05-29,139.800003,140.160004,138.539993,139.210007,127.884758,2695000
2018-05-30,139.970001,141.309998,139.910004,141.009995,129.538315,1587000
2018-05-31,140.880005,140.949997,139.809998,140.039993,128.647202,1700900
2018-06-01,140.929993,141.649994,140.759995,141.500000,129.988434,1857800
2018-06-04,141.899994,142.259995,141.729996,142.160004,130.594772,1592000
2018-06-05,142.259995,142.520004,141.830002,142.369995,130.787674,2952100
2018-06-06,142.750000,143.630005,142.380005,143.630005,131.945175,3011000
2018-06-07,143.809998,144.000000,142.899994,143.419998,131.752243,1663400
2018-06-08,143.270004,143.940002,143.119995,143.910004,132.202393,1084200
2018-06-11,144.000000,144.470001,143.970001,144.119995,132.395325,1664500
2018-06-12,144.399994,144.610001,144.000000,144.419998,132.670898,1582300
2018-06-13,144.539993,144.660004,143.800003,143.880005,132.174805,1402000
2018-06-14,144.399994,144.570007,143.889999,144.289993,132.551498,1809800
2018-06-15,143.850006,144.330002,143.229996,144.149994,132.422882,3328300
2018-06-18,143.300003,144.059998,143.029999,143.990005,132.275925,1603500
2018-06-19,142.750000,143.619995,142.399994,143.509995,131.834900,1962500
2018-06-20,143.949997,144.190002,143.589996,143.839996,132.138092,1468400
2018-06-21,143.830002,143.850006,142.559998,142.850006,131.228653,1881300
2018-06-22,143.000000,143.080002,142.369995,142.449997,131.415924,1226300
2018-06-25,141.850006,141.990005,139.539993,140.449997,129.570831,4347700
2018-06-26,140.699997,141.250000,140.300003,140.770004,129.866043,2085300
2018-06-27,141.199997,141.889999,139.449997,139.460007,128.657532,2958800
2018-06-28,139.429993,140.690002,138.990005,140.330002,129.460098,2490500
2018-06-29,140.899994,141.660004,140.389999,140.429993,129.552414,1834000
2018-07-02,139.559998,140.880005,139.429993,140.770004,129.866043,2825900
2018-07-03,141.360001,141.470001,140.220001,140.410004,129.533936,1325900
2018-07-05,141.130005,141.619995,140.449997,141.600006,130.631744,2796400
2018-07-06,141.660004,143.000000,141.440002,142.789993,131.729568,1756400
2018-07-09,143.460007,144.110001,143.139999,144.089996,132.928848,2153000
2018-07-10,144.389999,144.610001,144.029999,144.460007,133.270248,1437000
2018-07-11,143.619995,144.100006,143.100006,143.429993,132.319977,2042300
2018-07-12,144.179993,144.660004,143.720001,144.610001,133.408600,1440600
2018-07-13,144.529999,144.979996,144.259995,144.699997,133.491623,1964700
2018-07-16,144.770004,144.839996,144.220001,144.470001,133.279449,1571100
2018-07-17,144.020004,145.330002,144.009995,145.130005,133.888321,1767100
2018-07-18,145.130005,145.500000,144.850006,145.449997,134.183517,1327700
2018-07-19,145.070007,145.419998,144.600006,145.100006,133.860611,2034200
2018-07-20,145.000000,145.240005,144.559998,144.839996,133.620758,1507800
2018-07-23,144.789993,145.160004,144.470001,145.070007,133.832977,1444500
2018-07-24,145.770004,146.089996,144.899994,145.389999,134.128220,2340000
2018-07-25,145.300003,146.669998,145.009995,146.630005,135.272141,2125700
2018-07-26,146.229996,146.740005,146.000000,146.389999,135.050720,2084600
2018-07-27,146.600006,146.639999,144.630005,145.220001,133.971344,2535000
2018-07-30,145.220001,145.339996,144.059998,144.270004,133.094940,5379700
2018-07-31,144.820007,145.509995,144.539993,145.089996,133.851395,2003800
2018-08-01,145.190002,145.529999,144.490005,144.919998,133.694595,1524100
2018-08-02,144.169998,145.910004,144.080002,145.779999,134.487991,1508400
2018-08-03,145.889999,146.289993,145.759995,146.270004,134.940002,1977100
2018-08-06,146.309998,147.059998,146.089996,146.929993,135.548889,1802000
2018-08-07,146.309998,147.619995,146.309998,147.410004,135.991730,2532500
2018-08-08,147.330002,147.529999,146.979996,147.270004,135.862549,1270600
2018-08-09,147.369995,147.679993,147.070007,147.169998,135.770309,1233800
2018-08-10,146.350006,146.759995,145.940002,146.250000,134.921600,1854000
2018-08-13,146.399994,146.750000,145.460007,145.690002,134.404907,1898200
2018-08-14,146.110001,146.779999,145.919998,146.649994,135.290558,1784200
2018-08-15,145.869995,146.029999,144.639999,145.490005,134.220459,2684700
2018-08-16,146.279999,147.149994,146.259995,146.630005,135.272141,1347500
2018-08-17,146.449997,147.389999,146.300003,147.169998,135.770309,2188300
2018-08-20,147.449997,147.690002,147.160004,147.449997,136.028610,5759800
2018-08-21,147.779999,148.509995,147.779999,148.000000,136.535995,2090900
2018-08-22,147.789993,148.289993,147.710007,148.050003,136.582153,1169600
2018-08-23,147.899994,148.369995,147.580002,147.759995,136.314621,1351100
2018-08-24,148.149994,148.759995,148.100006,148.679993,137.163345,1712700
2018-08-27,149.320007,149.869995,149.100006,149.750000,138.150467,2126000
2018-08-28,150.100006,150.199997,149.529999,149.839996,138.233459,3015300
2018-08-29,149.960007,150.770004,149.820007,150.630005,138.962296,2688600
2018-08-30,150.309998,150.600006,149.669998,150.009995,138.390350,2150400
2018-08-31,149.809998,150.279999,149.589996,150.070007,138.445648,2537500
2018-09-04,149.889999,150.100006,149.220001,149.860001,138.251923,2342700
2018-09-05,149.660004,149.690002,148.710007,149.369995,137.799881,2772000
2018-09-06,149.460007,149.690002,148.360001,148.919998,137.384766,2592200
2018-09-07,148.369995,149.169998,148.130005,148.580002,137.071075,2334400
2018-09-10,149.199997,149.330002,148.789993,148.899994,137.366241,2156000
2018-09-11,148.550003,149.619995,148.330002,149.399994,137.827560,2575100
2018-09-12,149.309998,149.639999,148.789993,149.410004,137.836823,2181100
2018-09-13,149.970001,150.330002,149.750000,150.160004,138.528702,1905900
2018-09-14,150.279999,150.479996,149.789993,150.279999,138.639374,1363900
2018-09-17,150.240005,150.279999,149.190002,149.330002,137.762970,1661600
2018-09-18,149.429993,150.440002,149.399994,150.130005,138.501053,1665400
2018-09-19,150.119995,150.479996,150.009995,150.149994,138.519455,1809800
2018-09-20,150.830002,151.470001,150.520004,151.309998,139.589615,1713900
2018-09-21,151.820007,151.839996,151.050003,151.160004,139.451248,1986100
2018-09-24,150.869995,150.929993,150.270004,150.610001,138.943848,1668600
2018-09-25,150.889999,151.070007,150.419998,150.529999,138.870026,2318900
2018-09-26,150.610001,151.289993,149.789993,149.949997,138.334946,4903500
2018-09-27,150.240005,150.949997,150.080002,150.300003,138.657867,1808300
2018-09-28,149.279999,149.990005,149.229996,149.649994,138.717178,1797000
2018-10-01,150.419998,150.770004,149.520004,149.880005,138.930359,2718800
2018-10-02,149.860001,150.100006,149.429993,149.660004,138.726410,2159200
2018-10-03,150.259995,150.490005,149.649994,149.860001,138.911804,2563900
2018-10-04,149.580002,149.610001,147.710007,148.589996,137.734619,3220800
2018-10-05,148.619995,148.949997,146.729996,147.630005,136.844772,3197900
2018-10-08,147.279999,147.759995,146.360001,147.520004,136.742798,2515600
2018-10-09,147.250000,148.020004,147.020004,147.259995,136.501770,3690600
2018-10-10,146.929993,146.949997,142.410004,142.570007,132.154404,6890300
2018-10-11,142.020004,142.970001,138.750000,139.529999,129.336487,11707900
2018-10-12,142.000000,142.320007,139.490005,141.369995,131.042068,7981200
2018-10-15,141.160004,141.979996,140.500000,140.740005,130.458130,3386400
2018-10-16,141.750000,144.059998,141.360001,143.839996,133.331604,3990400
2018-10-17,143.910004,144.149994,142.330002,143.800003,133.294525,3148300
2018-10-18,143.309998,143.610001,141.000000,141.720001,131.366486,3783800
2018-10-19,142.139999,143.070007,141.009995,141.350006,131.023514,2997700
2018-10-22,141.729996,141.940002,140.419998,140.789993,130.504456,3220600
2018-10-23,138.690002,140.669998,137.460007,139.960007,129.735092,4981600
2018-10-24,139.889999,140.089996,135.399994,135.610001,125.702881,6013700
2018-10-25,136.630005,138.960007,136.169998,138.160004,128.066574,4886000
2018-10-26,136.119995,137.529999,134.169998,135.770004,125.851204,6623500
2018-10-29,137.509995,138.330002,133.070007,135.020004,125.155991,5167200
2018-10-30,134.960007,137.289993,134.610001,137.130005,127.111855,3675500
2018-10-31,138.600006,139.839996,138.369995,138.559998,128.437378,4034500
2018-11-01,139.039993,140.369995,138.520004,140.130005,129.892654,3713900
2018-11-02,140.929993,141.199997,138.389999,139.559998,129.364304,3171400
2018-11-05,139.800003,140.520004,139.190002,140.240005,129.994644,3140200
2018-11-06,140.190002,141.110001,140.169998,141.039993,130.736160,2029700
2018-11-07,142.300003,144.000000,141.970001,143.919998,133.405792,2781200
2018-11-08,143.550003,144.059998,142.979996,143.639999,133.146255,1874800
2018-11-09,142.910004,142.960007,141.289993,142.169998,131.783615,2226900
2018-11-12,141.789993,141.970001,139.179993,139.440002,129.253098,3530700
2018-11-13,139.770004,140.919998,138.820007,139.240005,129.067688,2290500
2018-11-14,140.339996,140.570007,137.380005,138.220001,128.122223,2766000
2018-11-15,137.550003,140.009995,136.699997,139.779999,129.568268,3600900
2018-11-16,139.070007,140.570007,138.820007,140.080002,129.846313,2272300
2018-11-19,139.830002,139.929993,137.169998,137.649994,127.593834,3481800
