Date,Open,High,Low,Close,Adj Close,Volume
2018-04-16,297949.000000,299892.000000,296600.000000,297181.000000,297181.000000,200
2018-04-17,299499.000000,300950.000000,298590.000000,298701.000000,298701.000000,200
2018-04-18,300170.000000,301300.000000,299130.000000,299205.000000,299205.000000,100
2018-04-19,300000.000000,302000.000000,298990.000000,300300.000000,300300.000000,100
2018-04-20,301680.000000,301680.000000,298450.000000,300140.000000,300140.000000,100
2018-04-23,300998.000000,301420.000000,298000.000000,298821.000000,298821.000000,200
2018-04-24,299600.000000,300750.000000,293000.000000,295734.000000,295734.000000,300
2018-04-25,294660.000000,296010.000000,291995.000000,295279.000000,295279.000000,200
2018-04-26,296750.000000,296760.000000,294400.000000,295769.000000,295769.000000,100
2018-04-27,295850.000000,296455.000000,293980.000000,295995.000000,295995.000000,100
2018-04-30,296900.000000,297240.000000,290650.000000,290650.000000,290650.000000,300
2018-05-01,291150.000000,292730.000000,289170.000000,292730.000000,292730.000000,400
2018-05-02,291850.000000,292400.000000,289750.000000,290450.000000,290450.000000,300
2018-05-03,289171.000000,289171.000000,284850.000000,287051.000000,287051.000000,500
2018-05-04,288200.000000,294349.000000,280428.000000,292600.000000,292600.000000,700
2018-05-07,294720.000000,297500.000000,293700.000000,295600.000000,295600.000000,300
2018-05-08,295560.000000,295770.000000,292240.000000,295700.000000,295700.000000,300
2018-05-09,295000.000000,300000.000000,294950.000000,299991.000000,299991.000000,200
2018-05-10,300140.000000,301630.000000,298635.000000,301630.000000,301630.000000,300
2018-05-11,300300.000000,303530.000000,298360.000000,298770.000000,298770.000000,300
2018-05-14,300000.000000,300730.000000,298100.000000,298200.000000,298200.000000,200
2018-05-15,297555.000000,298155.000000,294420.000000,296200.000000,296200.000000,200
2018-05-16,295700.000000,297580.000000,295000.000000,296300.000000,296300.000000,100
2018-05-17,296750.000000,296840.000000,295000.000000,296440.000000,296440.000000,100
2018-05-18,296440.000000,296440.000000,293965.000000,294380.000000,294380.000000,200
2018-05-21,296200.000000,297775.000000,295745.000000,296620.000000,296620.000000,200
2018-05-22,297300.000000,298300.000000,296006.000000,296991.000000,296991.000000,200
2018-05-23,296500.000000,296580.000000,292647.000000,294400.000000,294400.000000,300
2018-05-24,293980.000000,294110.000000,291222.000000,291850.000000,291850.000000,200
2018-05-25,291600.000000,292370.000000,290100.000000,290886.000000,290886.000000,200
2018-05-29,289700.000000,289700.000000,283600.000000,286000.000000,286000.000000,900
2018-05-30,288500.000000,293116.000000,288300.000000,292000.000000,292000.000000,600
2018-05-31,291000.000000,291700.000000,287200.000000,287200.000000,287200.000000,400
2018-06-01,290080.000000,291000.000000,288470.000000,289200.000000,289200.000000,200
2018-06-04,290095.000000,291080.000000,288000.000000,288000.000000,288000.000000,200
2018-06-05,288000.000000,288100.000000,286200.000000,286700.000000,286700.000000,300
2018-06-06,287680.000000,291261.000000,287680.000000,290722.000000,290722.000000,300
2018-06-07,291900.000000,294000.000000,291110.000000,292900.000000,292900.000000,300
2018-06-08,292300.000000,294540.000000,291645.000000,294055.000000,294055.000000,200
2018-06-11,294600.000000,295302.000000,292770.000000,292770.000000,292770.000000,200
2018-06-12,293450.000000,294190.000000,292370.000000,293005.000000,293005.000000,200
2018-06-13,293100.000000,294020.000000,291825.000000,292769.000000,292769.000000,200
